time,request_count,regular_vm_count,evictable_vm_count,lifetime_distribution,vcpu_distribution
0.818067129701376,0.875,1.0,0.0,"[0.01009363786087505, 0.010093637626756654, 0.010093636924401468, 0.010093636690283073, 0.01009363739263826, 0.010093636456164679, 0.010093637158519865, 0.010093628318209258]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
0.8181018517352641,0,0,0,"[0.00012643922607811142, 1.6819131071839284e-05, 0.010092340676399818, 0.010092340442281422, 0.010092340217527763, 0.010092339983409368, 0.01009233532913567, 0.010092333465553242, 0.010092334626780483, 0.010092332997316452, 0.0015549305672282012, 0.0015549305672282012, 0.0015549305672282012, 0.0015549305672282012]","[0.125, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.125, 0.125, 0.125, 0.125]"
0.8181134257465601,0.125,1.0,0.0,"[0.00020142086769702012, 0.0002013096052708355]","[0.125, 0.125]"
0.8181250002235174,0.25,1.0,0.0,"[2.6799017650057667e-05, 2.6799017650057667e-05, 0.0004178741778850081]","[0.125, 0.125, 0.125]"
0.8181365742348135,0,0,0,[0.0005887473897395025],[0.125]
0.8181481482461095,0.25,1.0,0.0,"[3.831421520574093e-05, 1.3684529241840663e-05, 0.00022524798643708008]","[0.125, 0.125, 0.125]"
0.8181597222574055,0.875,1.0,0.0,"[0.00015716773369864198, 0.00041261120572329453, 0.0010725869539802751, 0.0008221648532981174, 0.029653633638864446, 0.029653633638864446, 0.029653633638864446, 0.029653633638864446]","[0.25, 0.125, 0.125, 0.125, 0.25, 0.25, 0.25, 0.25]"
0.8181712962687016,0,0,0,[0.00031609164566887926],[0.125]
0.8181828702799976,0.125,1.0,0.0,"[0.0001923175484850299, 0.0019108556691936325]","[0.125, 0.5]"
0.8181944442912936,0.125,1.0,0.0,"[0.00020910130894970656, 0.0003333290620305057]","[0.125, 0.125]"
0.8182060183025897,0,0,0,[0.000992169860495464],[0.25]
0.818229166790843,0.375,1.0,0.0,"[0.009352602120655017, 0.00012977655570897226, 0.00019004206751844135, 0.0037551782336523584]","[0.125, 0.125, 0.125, 1.0]"
0.818240740802139,0,0,0,[0.00011825810858996217],[0.125]
0.8182523148134351,0.125,1.0,0.0,"[4.4819906539203336e-05, 0.01019190149996239]","[0.125, 0.125]"
0.8182638888247311,0.375,1.0,0.0,"[0.00011974429216335632, 0.0003542717953167329, 0.0003542717953167329, 5.037010451301245e-07]","[0.125, 0.125, 0.125, 0.125]"
0.8182754628360271,0.5,1.0,0.0,"[5.569919170956001e-05, 0.0001367072749420066, 0.000681036037071858, 0.0013098370761410647, 0.000918361339331748]","[0.125, 0.125, 0.5, 0.125, 1.0]"
0.8182870368473232,0,0,0,"[0.000954994547000258, 0.000954994547000258, 0.000954994547000258, 0.000954994547000258, 0.012258261117066594, 0.012120538770315697, 0.012431037617827557, 2.5503013131537425e-05, 0.0022036129497914176, 0.0017561321690009147]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.125, 0.125, 0.125]"
0.8182986113242805,0,0,0,"[0.0011321856029525583, 2.5273033949461725e-05, 0.006924260936628831, 0.006478302421738806, 0.002653059163875239, 0.006924256984710318, 0.006478301953502016, 0.010089282181777764, 0.01008928194765937, 0.010089281488787315, 0.01008928125466892, 0.010089281020550523, 0.010089280552313734, 0.010089281713540975, 0.010089280786432129]","[0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
0.8183101853355765,0,0,0,[0.00016262435923221572],[0.125]
0.8183217593468726,0,0,0,"[0.0005425735016023657, 0.010150011828623557, 0.010150011594505163, 0.010150011126268371, 0.010150010892149976, 0.010150010667396316, 0.010150010199159527, 0.010150011360386766, 0.010150010433277921]","[0.125, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
0.8183333333581686,0,0,0,[0.0016005953976913235],[0.25]
0.8183449073694646,0.75,1.0,0.0,"[0.015216647865149788, 0.015216647865149788, 0.0009893620598511032, 0.0001618564883545596, 0.0001618571813450097, 0.000746048730123977, 0.0007460489642423723]","[0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125]"
