time,vm-name,type,vm-vcpus,did-fail,inventory
1706156355.4435582,vm-validation-10,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 11, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156368.6537526,vm-validation-11,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 12, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156384.5238326,vm-validation-12,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 12, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 1, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156400.2209861,vm-validation-13,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 12, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 2, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156415.9579785,vm-validation-14,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 12, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 3, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156430.2186868,vm-validation-15,evictable,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 12, 'green-cores-avl': 4, 'green-cores-usg': 1}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 3, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156449.2539034,vm-validation-16,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 12, 'green-cores-avl': 4, 'green-cores-usg': 1}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 4, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156466.2654011,vm-validation-17,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 12, 'green-cores-avl': 4, 'green-cores-usg': 1}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 5, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156483.786111,vm-validation-18,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 1, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 12, 'green-cores-avl': 4, 'green-cores-usg': 1}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 5, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156502.1188805,vm-validation-19,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 2, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 12, 'green-cores-avl': 4, 'green-cores-usg': 1}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 5, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
