time,request_count,regular_vm_count,evictable_vm_count,lifetime_distribution,vcpu_distribution
0.8183449073694646,5,1.0,0.0,"[0.04919600719586015, 0.008048310410231352, 0.008048344869166613, 0.03709725709632039, 0.03709726873785257]","[1, 1, 2, 1, 1, 1, 1]"
0.8183564813807607,0,0,0,[],[]
0.8183680553920567,2,1.0,0.0,"[0.008060301188379526, 0.03614903939887881]","[1, 1]"
0.8183796294033527,6,1.0,0.0,"[0.007695173844695091, 0.007695173844695091, 0.05658829864114523, 0.05658829864114523, 0.05658829864114523, 0.05658829864114523]","[1, 1, 2, 2, 2, 2]"
0.8183912038803101,1,1.0,0.0,[0.007891817018389702],[1]
0.8184143519029021,2,1.0,0.0,"[0.025565404910594225, 0.0196599536575377]","[1, 1]"
0.8184259259141982,1,1.0,0.0,[0.0793143748305738],[1]
0.8184374999254942,1,1.0,0.0,[0.017318611033260822],[1]
0.8184490739367902,2,1.0,0.0,"[0.04424473410472274, 0.04424473410472274]","[2, 2]"
0.8184606479480863,0,0,0,[],[]
0.8184722224250436,2,1.0,0.0,"[0.02568538160994649, 0.05612619174644351]","[1, 2]"
0.8184837964363396,0,0,0,[],[]
0.8184953704476357,4,1.0,0.0,"[0.0033527431078255177, 0.0018728701397776604, 0.056102569214999676, 0.0003331713378429413]","[1, 1, 2, 1]"
0.8185069444589317,1,1.0,0.0,[0.0008738888427615166],[1]
0.8185185184702277,1,1.0,0.0,[0.0025079050101339817],[1]
0.8185300924815238,1,1.0,0.0,[0.0016766204498708248],[1]
0.8185416664928198,2,1.0,0.0,"[0.005238079000264406, 0.015416018664836884]","[1, 2]"
0.8185532409697771,2,1.0,0.0,"[0.05604518484324217, 0.01972099533304572]","[2, 2]"
0.8185648149810731,5,1.0,0.0,"[0.00805569440126419, 0.011398552916944027, 0.056033610831946135, 0.05603420129045844, 0.05603420129045844]","[1, 1, 2, 2, 2]"
0.8185763889923692,2,1.0,0.0,"[0.0016350578516721725, 0.0016350578516721725]","[1, 1]"
0.8185879630036652,2,1.0,0.0,"[0.05600879620760679, 0.0012889928184449673]","[2, 1, 2, 2, 1]"
0.8185995370149612,6,1.0,0.0,"[0.002859039232134819, 0.0691253817640245, 0.0691253817640245, 0.0691253817640245, 0.0691253817640245, 0.006603530142456293]","[1, 1, 1, 1, 1, 1]"
0.8186111110262573,1,1.0,0.0,[0.2965981368906796],[2]
0.8186226850375533,2,1.0,0.0,"[0.0011030323803424835, 0.0011030323803424835]","[1, 1]"
