time,request_count,regular_vm_count,evictable_vm_count,lifetime_distribution,vcpu_distribution
0.8186458335258067,0,0,0,[],[]
0.8186574075371027,0,0,0,[],[]
0.8186921295709908,1,1.0,0.0,[0.0017896643839776516],[1]
0.8187037035822868,1,1.0,0.0,[0.020323009230196476],[1]
0.8187152775935829,0,0,0,[],[]
0.8187268520705402,0,0,0,[],[]
0.8187384260818362,0,0,0,[],[]
0.8187500000931323,1,1.0,0.0,[0.011212361045181751],"[1, 1, 1]"
0.8187615741044283,1,1.0,0.0,[0.0017406828701496124],[1]
0.8188078701496124,0,0,0,[],[]
0.8188194446265697,0,0,0,[],[]
0.8188310186378658,2,1.0,0.0,"[0.002790509257465601, 0.0252633448690176]","[1, 1, 1, 1]"
0.8188425926491618,2,1.0,0.0,"[0.0014127660542726517, 0.0014127660542726517]","[1, 1]"
0.8188541666604578,0,0,0,[],[]
0.8188657406717539,1,1.0,0.0,[0.007980914320796728],[1]
0.8189236111938953,0,0,0,[],[]
0.8189351852051914,0,0,0,[],[]
0.8189583332277834,0,0,0,[],[]
0.8189814812503755,1,1.0,0.0,[0.0017414814792573452],[1]
0.8190046297386289,0,0,0,[],[]
0.8190162037499249,3,1.0,0.0,"[0.020798773039132357, 0.020798773039132357, 0.006818657275289297]","[1, 1, 1]"
0.8190277777612209,1,1.0,0.0,[0.024732465390115976],[1]
0.819039351772517,1,1.0,0.0,[0.021957742981612682],[1]
0.819050925783813,1,1.0,0.0,[0.005851064808666706],[1]
0.819062499795109,1,1.0,0.0,[0.004423738457262516],[1]
0.8190856482833624,0,0,0,[],[]
0.8190972222946584,1,0.25,0.75,[0.0007881480269134045],[1]
0.8191087963059545,2,1.0,0.0,"[0.007413738407194614, 0.015572569333016872]","[1, 1]"
0.8191203703172505,0,0,0,[],[]
0.8191319443285465,1,1.0,0.0,[0.006526365876197815],[1]
0.8191435183398426,0,0,0,[],[]
0.8191550928167999,2,0.6,0.4,"[0.009433865547180176, 0.007136979140341282]","[1, 1]"
0.8191666668280959,1,1.0,0.0,[0.0008425693958997726],"[1, 1, 1]"
0.819178240839392,1,1.0,0.0,[0.024160081055015326],[1]
0.819201388861984,3,1.0,0.0,"[0.00674806721508503, 0.00674806721508503, 0.007158865686506033]","[1, 1, 1]"
0.8192245368845761,1,1.0,0.0,[0.0007364004850387573],[1]
0.8192361108958721,0,0,0,[],[]
0.8192476853728294,0,0,0,[],[]
0.8192592593841255,2,1.0,0.0,"[0.005570671055465937, 0.005673854146152735]","[1, 1]"
0.8192708333954215,2,1.0,0.0,"[0.006753298453986645, 0.006753298453986645]","[1, 1]"
0.8192824074067175,0,0,0,[],[]
0.8192939814180136,1,0.5,0.5,[0.020346736069768667],[1]
0.8193055554293096,1,1.0,0.0,[0.024891192093491554],[1]
0.8193171294406056,2,1.0,0.0,"[0.002225810196250677, 0.002225810196250677]","[1, 1, 1]"
0.819328703917563,0,0,0,[],[]
