timestamp,gs
1705386949.7121625,1
1705386955.477754,1
1705386961.13294,1
1705386966.7141502,1
1705386972.718689,1
1705386978.3814178,1
1705386984.1105413,1
1705386989.1314232,1
1705386994.9112868,1
1705387000.4102018,1
1705387006.2386518,1
1705387012.095574,1
1705387307.8460724,1
1705387313.5331626,1
1705387319.2952392,1
1705387325.025864,1
1705387330.7614646,1
1705387336.5089095,1
1705387342.1671987,1
1705387347.9312227,1
1705387353.607888,1
1705387359.2765105,1
1705387365.0246587,1
1705387370.7543564,1
1705387376.6039116,1
1705387382.267841,1
1705387387.9398055,1
1705387393.6705782,1
1705387399.4890954,1
1705387405.2783995,1
1705387718.6608398,1
1705387724.5011487,1
1705387730.419641,1
1705387736.175423,1
1705387742.1262062,1
1705387748.028596,1
1705387753.8586211,1
1705387759.4361415,1
1705387765.1970396,1
1705387770.918809,1
1705387776.5990586,1
1706322787.2889273,0
1706322792.6465774,0
1706322798.0068588,0
1706322803.370795,0
1706322808.6993124,0
1706322814.0540578,0
1706322819.408306,0
1706322824.7676928,0
1706322830.1240325,0
1706322835.4813151,0
1706322840.8400788,0
1706322846.2434626,0
1706322851.6085906,0
1706322856.9667537,0
1706322862.3217137,0
1706322867.6850545,0
1706322873.0395415,0
1706322878.4013705,0
1706322883.760063,0
1706322889.0859497,0
1706322894.437727,0
1706322899.799089,0
1706322905.1568062,0
1706322910.5181541,0
1706322915.882153,0
1706322921.2387583,0
1706322926.5963762,0
1706322931.9604204,0
1706322937.282906,0
1706322942.6860886,0
1706322948.0478206,0
1706322953.4124162,0
1706322958.7735796,0
1706322964.127584,0
1706322969.4863384,0
1706322974.8429585,0
1706322980.2028356,0
1706322985.5597515,0
1706322990.897022,0
1706322996.259829,0
1706323001.617665,0
1706323006.9754632,0
1706323012.3269165,0
1706323017.6892676,0
1706323023.043331,0
1706323028.4015663,0
1706323033.7608788,0
1706323039.1253412,0
1706323044.4818747,0
1706323049.8404799,0
1706323055.203055,0
1706323060.560334,0
1706323065.8887618,0
1706323071.2448773,0
1706323076.6046386,0
1706323081.9453208,0
1706323087.3059876,0
1706323092.6323793,0
1706323097.9865348,0
1706323103.3501928,0
1706323108.716142,0
1706323114.0750685,0
1706323119.4122672,0
1706323124.7408516,0
1706323130.073614,0
1706323135.4283597,0
1706323140.7850292,0
1706323146.139388,0
1706323151.5008428,0
1706323156.859871,0
1706323162.2208872,0
1706323167.5822892,0
1706323172.941575,0
1706323178.3017669,0
1706323183.7648308,0
1706323189.2143452,0
1706323194.6580186,0
1706323200.1335893,0
1706323205.5767794,0
1706323211.0117142,0
1706323216.5377634,0
1706323222.0423076,0
1706323227.5015879,0
1706323233.1470308,0
1706323238.7614675,0
1706323244.334035,0
1706323249.9312322,0
1706323255.5058541,0
1706323261.2111263,0
1706323266.8646526,0
1706323272.493685,0
1706323278.2255738,0
1706323283.944774,0
1706323289.6061738,0
1706323295.3582535,0
1706323301.0202017,0
1706323306.7672482,0
1706323312.3766503,0
1706323318.005689,0
1706323323.707684,0
1706323329.2959096,0
1706323334.8156493,0
1706323340.4095643,0
1706323346.0628757,0
1706323351.6681116,0
1706323357.3574545,0
1706323363.4042566,0
1706323368.99237,0
1706323374.5674605,0
1706323380.1721213,0
1706323385.7800825,0
1706323391.4314127,0
1706323397.145967,0
1706323402.7534666,0
1706323408.3937442,0
1706323414.107947,0
1706323419.7848737,0
1706323425.499872,0
