days,intensity
0.0,0.0
0.0002170138541666653,0.0
0.00043402770833333266,0.0
0.0006510415625,0.0
0.0008680554166666653,0.0
0.0010850692708333327,0.0
0.001302083125,0.0
0.0015190969791666654,0.0
0.0017361108333333328,0.0
0.0019531246875000002,0.0
0.0021701385416666654,0.0
0.0023871523958333327,0.0
0.00260416625,0.0
0.0028211801041666653,0.0
0.0030381939583333326,0.0
0.0032552078125,0.0
0.0034722216666666656,0.0
0.0036892355208333325,0.0
0.0039062493750000003,0.0
0.004123263229166665,0.0
0.0043402770833333324,0.0
0.0045572909375,0.0
0.004774304791666665,0.0
0.004991318645833333,0.0
0.0052083325,0.0
0.0054253463541666675,0.0
0.005642360208333333,0.0
0.0058593740625000005,0.0
0.006076387916666667,0.0
0.0062934017708333335,0.0
0.006510415625,0.0
0.006727429479166667,0.0123178315343438
0.006944443333333333,0.0305353321718382
0.0071614571875,0.0546153191240178
0.007378471041666668,0.0801764204833958
0.007595484895833333,0.1115979424469888
0.007812498750000001,0.1502287939518966
0.008029512604166667,0.1997727938713505
0.008246526458333334,0.252353388182132
0.0084635403125,0.3109121485939348
0.008680554166666667,0.360799056451457
0.008897568020833333,0.3879094406635531
0.009114581875,0.4121898015313509
0.009331595729166668,0.4313162147757732
0.009548609583333333,0.4544294492278566
0.0097656234375,0.4886830602462184
0.009982637291666667,0.5324224137441552
0.010199651145833334,0.5865522909076547
0.010416665,0.6282879052494096
0.010633678854166667,0.6599283925228533
0.010850692708333335,0.6909347066819178
0.0110677065625,0.7167891389280772
0.011284720416666666,0.7764468573100747
0.011501734270833334,0.8078415250375539
0.011718748125000001,0.8373212791590735
0.011935761979166666,0.8592343358279181
0.012152775833333334,0.863111674380654
0.0123697896875,0.8290852915140243
0.012586803541666667,0.7728277325661252
0.012803817395833335,0.7032091582963856
0.01302083125,0.6473007044179658
0.013237845104166666,0.5967858205774752
0.013454858958333335,0.5197720028240945
0.013671872812500001,0.4672802340635356
0.013888886666666666,0.3972815690672624
0.014105900520833334,0.3406026051834241
0.014322914375,0.2989062393406048
0.014539928229166667,0.2602836506775782
0.014756942083333335,0.2176597808335983
0.0149739559375,0.1799089219890344
0.015190969791666667,0.1384542442712392
0.015407983645833335,0.1018353947643946
0.015624997500000001,0.0738388207605437
0.015842011354166668,0.0490007180657674
0.016059025208333334,0.0289963778714716
0.0162760390625,0.0135737835002806
0.016493052916666667,0.0030572514960303
0.016710066770833334,0.0001342711805689004
0.016927080625,0.0
0.017144094479166667,0.0
0.017361108333333333,0.0
0.0175781221875,0.0
0.017795136041666666,0.0
0.018012149895833336,0.0
0.01822916375,0.0
0.018446177604166666,0.0
0.018663191458333336,0.0
0.018880205312500002,0.0
0.019097219166666665,0.0
0.019314233020833335,0.0
0.019531246875,0.0
0.019748260729166668,0.0
0.019965274583333335,0.0
0.0201822884375,0.0
0.020399302291666668,0.0
0.020616316145833334,0.0
0.02083333,0.0
