days,cores,lifetime,isEvictable
0.0007113689005143839,1,0.00017250000000000002,True
0.000749132515407711,1,0.00017250000000000002,True
0.0009073446082009226,1,0.00017250000000000002,True
0.001096312071108342,1,0.00017250000000000002,True
0.0011921838505133888,1,0.00083624,False
0.0014941497998832507,1,1.68e-06,False
0.001559,1,0.00017250000000000002,True
0.001678,1,0.00083624,False
0.002018,1,1.68e-06,False
0.0021672347321718428,1,1.68e-06,False
0.002719033178370148,1,0.00148522,False
0.002798256632412661,1,0.00148522,False
0.002863,1,0.00148522,False
0.003354,1,0.00196124,False
0.003711,8,0.01236192,True
0.0037904452591157405,8,0.01236192,True
0.004114688446133309,8,0.01236192,True
0.004521115106248286,1,0.00019108,False
0.004626426385374271,1,0.00019108,False
0.00484143538978098,4,0.010852599999999999,True
0.004969333347462806,8,5.236e-05,True
0.005083968524829372,8,0.02431758,True
0.0051820209547085,8,5.236e-05,True
0.005186,8,5.236e-05,True
0.005194603555414491,8,5.236e-05,True
0.00523,4,0.010852599999999999,True
0.005503,1,0.00019108,False
0.005520039506333365,8,5.236e-05,True
0.005676391842708784,4,0.010852599999999999,True
0.005688342331342219,8,5.236e-05,True
0.005698880609115668,1,0.00019108,False
0.005812706149256618,1,0.00019108,False
0.005911794093945733,4,0.010852599999999999,True
0.006083,8,0.02431758,True
0.006329,1,0.00023026,False
0.006429,1,0.00050344,False
0.006438979250716551,1,0.00023026,False
0.007416188373270367,1,0.00050344,False
0.007999624631918823,2,3.584e-05,True
0.008167112194848601,2,0.0060309000000000005,True
0.008192,2,0.0060309000000000005,True
0.008199,2,3.584e-05,True
0.008322,1,0.0046437,False
0.008394678412358013,1,0.00041776000000000004,False
0.0084,1,0.00041776000000000004,False
0.009015173476153236,1,0.0046437,False
0.009156171307135749,2,0.0060309000000000005,True
0.00916053696050744,1,0.0046437,False
0.011757,1,0.00071404,False
0.011979775159901705,1,0.00071404,False
0.012225778965717296,1,0.00071404,False
0.012315835299650439,1,0.00071404,False
0.012626,1,0.00042174000000000004,False
0.012738465293195687,1,0.00042174000000000004,False
0.013428,4,0.00051506,True
0.015795169911362376,1,0.00046646000000000003,False
0.016453306952917763,1,0.00046646000000000003,False
0.016538019779670815,1,0.00046646000000000003,False
0.016694,1,0.00046646000000000003,False
0.016732159309880916,1,0.00046646000000000003,False
0.017514825860325597,1,0.00046646000000000003,False
0.019829,1,0.0007034400000000001,False
0.019829,1,0.0007034400000000001,False
